Price,Close,High,Low,Open,Volume
Ticker,WMT,WMT,WMT,WMT,WMT
Date,,,,,
2022-01-03,45.85870361328125,45.90308671394585,45.33876863217766,45.652632220201255,20706600
2022-01-04,45.0185661315918,46.014049352985566,44.94248029877776,45.66531203716444,33930000
2022-01-05,45.62727355957031,46.27085218258841,45.25317908573784,45.28805282209915,35418000
2022-01-06,45.500457763671875,45.85553345997232,45.14538206737143,45.532160497323396,21828900
2022-01-07,45.93479537963867,46.08380332370122,45.32292311924489,45.494120802432995,19723500
2022-01-10,45.84601593017578,46.156704841542734,45.37363875219353,46.109150749530464,22731600
2022-01-11,45.716033935546875,45.84919048290625,45.392661005392554,45.71920493422245,21668700
2022-01-12,45.4750862121582,45.63994548049219,45.335594931768306,45.55117566341154,18946800
2022-01-13,46.11866760253906,46.18524406255413,45.370471548898266,45.47192173826838,24252600
2022-01-14,45.988677978515625,46.48641951332682,45.722372162049716,45.722372162049716,26867400
2022-01-18,45.18341827392578,45.87454717030636,45.05977473349734,45.782606357547856,21123900
2022-01-19,45.63360595703125,45.966491882091255,44.99320209623037,45.18976047571452,22674000
2022-01-20,44.77128219604492,45.7984645117979,44.7237280974893,45.12952887686284,22387200
2022-01-21,44.444740295410156,45.10099559326336,44.403528192687816,44.77128425890333,27508200
2022-01-24,44.447906494140625,44.552527681371686,43.53168379841884,44.08965983550622,28699200
2022-01-25,43.48096466064453,44.501808683443954,43.373172459977184,44.38133611450557,29479500
2022-01-26,43.03712463378906,44.00090168067511,42.85007557227245,43.54120471158698,26185500
2022-01-27,43.065650939941406,44.09283696301093,42.91664663505775,43.408046280964584,27759000
2022-01-28,43.598262786865234,43.61411415298836,42.4664592818354,43.11637254917386,25131900
2022-01-31,44.32426834106445,44.39718680676858,43.3382980671123,43.46194163327465,20193600
2022-02-01,44.67300796508789,44.74909380560414,44.06430672837568,44.134050570454924,20323200
2022-02-02,44.65399169921875,44.904446249517854,44.432068889493486,44.70154580955715,18149700
2022-02-03,44.69837188720703,45.01540652502518,44.31159340234055,44.46693972180519,20741100
2022-02-04,44.172096252441406,44.70154066077742,43.86140725712843,44.666666924916846,22036500
2022-02-07,43.73775863647461,44.40669428294022,43.626795443120315,44.40352691216471,20010300
2022-02-08,43.74726867675781,44.14356010059362,43.59509337953327,43.85188987387692,19458900
2022-02-09,43.652156829833984,44.000890496285784,43.58240937091463,43.9089533027248,21473700
2022-02-10,43.14173126220703,43.436568810373636,42.94516926861796,43.29073553550953,27810600
2022-02-11,42.90396499633789,43.49047282931952,42.53620530146599,43.37634226173978,23733300
2022-02-14,42.46645736694336,43.10369023827832,42.07333697415511,42.90396085724602,29363400
2022-02-15,42.599605560302734,43.011744643329465,42.41572756508395,42.716907102565486,21824400
2022-02-16,42.33330535888672,42.76129952711008,42.07017048799648,42.58693448891531,28490700
2022-02-17,44.0294303894043,44.21648306619184,42.412569052327925,42.48231652417531,53831400
2022-02-18,43.74726867675781,44.254519667506294,43.48413381262059,43.78214240913085,31103400
2022-02-22,43.259037017822266,43.8265260647545,43.09734873502905,43.67751814880438,25380900
2022-02-23,42.8151969909668,43.4936456836433,42.74862052135989,43.389024480505164,21030900
2022-02-24,42.65033721923828,42.8025125105987,41.85141603255978,42.45377520030703,31717500
2022-02-25,43.236846923828125,43.36366148628239,42.51084416610246,42.739108927262016,24997800
2022-02-28,42.85007095336914,43.13857019924947,42.40939640069959,42.79934585110607,26286600
2022-03-01,43.11320877075195,43.715567989910916,42.805687162936735,43.075164037628426,24024900
2022-03-02,43.1671028137207,43.37951622460077,42.85641382362928,43.00858913351454,23863800
2022-03-03,44.1594123840332,44.53351045099454,43.29074368378861,43.525346818361925,29885100
2022-03-04,45.27853012084961,45.31657484838994,43.620453383786895,43.69020084156252,35576400
2022-03-07,44.913936614990234,45.535321670540256,44.52715826849871,44.79663507453324,45870000
2022-03-08,43.985042572021484,45.16440384036232,43.93431747321581,44.860053247528285,28305600
2022-03-09,44.21330261230469,44.46058608203794,43.794817870709366,44.38450025602189,22122900
2022-03-10,45.21828842163086,45.335593593541226,44.070633714879385,44.22280898474938,27512700
2022-03-11,45.04075622558594,45.66847972034348,44.98051813534255,45.11367468235348,19162200
2022-03-14,45.668487548828125,45.92211306351242,45.01540320907065,45.02491257855763,22646400
2022-03-15,46.21695327758789,46.33425484874577,45.60508105682478,45.82066183244663,22872600
2022-03-16,46.08062744140625,46.584707439519704,45.55752507738253,46.09330780929799,24615900
2022-03-17,46.15064239501953,46.24293882114446,45.39955250134984,45.972419711638004,19023000
2022-03-18,46.28749084472656,46.32886598141367,45.86420789927181,46.204744213529864,31233300
2022-03-21,45.902400970458984,46.876271917819025,45.70826197676396,46.28430878919113,21350700
2022-03-22,45.76555252075195,46.13791421417123,45.5045795521443,46.02334222592942,20235000
2022-03-23,45.17677688598633,45.74327763818198,45.03992568298901,45.555505142027016,19625400
2022-03-24,45.45683288574219,45.80055242730334,45.15448483437508,45.3167984588577,13440900
2022-03-25,45.654151916503906,45.8069157539895,45.27542376455718,45.654151916503906,14085300
2022-03-28,46.46571731567383,46.48481325250292,45.6064183692524,45.670069063897685,20105700
2022-03-29,46.857177734375,47.13406337178926,46.54528348436404,46.65667584887271,19934400
2022-03-30,47.697383880615234,47.79604319807015,46.796709684903995,46.825351772635294,24991500
2022-03-31,47.39503479003906,47.91061421173036,47.15952428151674,47.353663291070504,27163800
2022-04-01,48.0601921081543,48.14293874360606,47.36957329683086,47.63054261429156,20939700
2022-04-04,48.06973648071289,48.75717195124236,47.76420879554928,48.028361346561084,25332600
2022-04-05,48.20659255981445,48.7985520548294,48.01881644770529,48.01881644770529,18657900
2022-04-06,49.32685470581055,49.4637058726417,47.89787561130725,48.06336885978955,28018500
2022-04-07,49.82015609741211,50.13841319308877,49.15181291853152,49.361864568453875,27088200
2022-04-08,50.0970458984375,50.415303020779675,49.7151344378848,49.937915516177604,23294400
2022-04-11,49.10407638549805,50.36119577572452,48.894024729223375,49.957008778508786,24712800
2022-04-12,48.766727447509766,49.45734626182738,48.550309246890876,49.0881678429258,26761200
2022-04-13,50.036582946777344,50.2179925589712,48.804925753002564,48.83675110618579,29284500
2022-04-14,49.99202346801758,50.37711457584594,49.78515504964988,50.00156961620135,22360500
2022-04-18,49.610111236572266,50.278454506914805,49.396879936676335,49.8869968780564,14671800
2022-04-19,50.173431396484375,50.26891109297086,49.661035225570615,49.86153712492521,15855000
2022-04-20,50.80358123779297,51.03272886002536,50.37711498594821,50.39621092464907,19821600
2022-04-21,50.879966735839844,51.16639854181061,50.62536028140161,50.89587941160611,18168300
2022-04-22,49.9220085144043,51.035914032432416,49.85835781113927,51.00090541720104,21046200
2022-04-25,49.947471618652344,50.11615182424309,49.12318474264168,49.7660656419318,18057600
2022-04-26,49.425514221191406,50.32618458751835,49.39368887650982,49.76605050833251,19601100
2022-04-27,49.08816146850586,49.711946240505604,49.01814425294815,49.4987149730885,17496900
2022-04-28,49.71512985229492,49.9601901084666,49.043607058296416,49.40323564301776,14955900
2022-04-29,48.69034194946289,49.71831743899163,48.60122879018007,49.587832784376594,21088800
2022-05-02,48.368892669677734,49.32685076088283,47.840583979764595,49.317300972978046,20016000
2022-05-03,48.537574768066406,49.10089212760824,48.30524755938665,48.51211594840328,17950500
2022-05-04,49.209102630615234,49.27275332377936,48.21931905476771,48.38481231386543,20022600
2022-05-05,48.787479400634766,49.13564324452735,48.35946297322336,49.07495235671948,23234400
2022-05-06,47.7717399597168,49.17397259336897,47.35969402971987,48.45848317637834,34258200
2022-05-09,48.33071517944336,48.90246623832224,47.334138886178465,47.42357597001851,28207200
2022-05-10,47.650360107421875,48.643741609659756,47.45232423603269,48.36904433294766,24861300
2022-05-11,47.152076721191406,48.151844260817676,46.92529098967857,47.720632984115,27878700
2022-05-12,47.107357025146484,47.96019508719824,46.800718702957475,47.22873515127344,25244400
2022-05-13,47.28941345214844,47.394821040876764,46.679331757614506,47.18081468485998,19962300
2022-05-16,47.34052658081055,47.826039062829075,46.78155118393638,47.714241790204056,21449100
2022-05-17,41.95518112182617,43.900418292405966,41.72839543033212,43.5778095142946,132940200
2022-05-18,39.10600662231445,40.971391552121446,38.8185300005559,40.89473014487461,104253000
2022-05-19,38.03276062011719,38.90157265555651,37.8826363280773,38.60771008375347,71008500
2022-05-20,38.07429504394531,38.59813459924563,37.457823562537286,38.21483852269474,49356000
2022-05-23,39.160316467285156,39.53403177137215,38.28511803736782,38.30427973798233,43680900
2022-05-24,39.649009704589844,39.78316350571069,38.674793573850856,38.716315454693685,34584900
2022-05-25,39.40625,39.821490704400226,39.160302604720584,39.607480683978594,27121800
2022-05-26,40.246315002441406,40.374079132258586,39.735251172339005,40.0227241198445,28197600
2022-05-27,41.03846740722656,41.08318412336665,40.02592055411707,40.08341660808318,25299900
2022-05-31,41.08638000488281,41.492036261189,40.69988544496999,40.71266478312169,36912300
2022-06-01,40.07063293457031,41.17900276894615,39.82468553928611,41.04484897962447,28534800
2022-06-02,40.728633880615234,40.735019894051376,39.71289220257195,40.10896759687447,23214300
2022-06-03,40.029109954833984,40.69987888296698,39.95564339397504,40.460317507086195,18302700
2022-06-06,39.8853759765625,40.34213859493181,39.795938891342686,40.18881944401937,19855500
2022-06-07,39.40625,39.444580698495905,38.61090445558469,38.7258965510724,47707800
2022-06-08,39.06447982788086,39.578738509469595,38.95268621056099,39.08045034464084,22522800
2022-06-09,38.65563201904297,39.71928534012285,38.64605117034357,38.96866002267674,19880100
2022-06-10,38.87282943725586,39.2050227610499,38.11900935920744,38.24997198134031,25238100
2022-06-13,38.1413688659668,38.72589926503592,38.03915609975891,38.246776466509345,24897900
2022-06-14,38.1573371887207,38.32982167870822,37.74529131324125,38.05192959423759,21544200
2022-06-15,38.13178634643555,38.46078484709822,37.65905319198848,38.320245027814664,25914000
2022-06-16,38.527870178222656,38.89200093725219,37.76446547630078,37.8027961842252,30706800
2022-06-17,37.78362274169922,38.61090568736461,37.681409979393706,38.33621208715819,36838800
2022-06-21,39.02296447753906,39.21780921937312,37.76127504706654,37.78683007380353,23916600
2022-06-22,38.55022048950195,39.3679226310159,38.51827945652618,39.00059709637758,20235000
2022-06-23,39.48611068725586,39.59470947136123,38.713125238965,38.88880092529977,18040800
2022-06-24,39.51805114746094,40.02592015851585,39.33917697383451,39.63623443326459,31845900
2022-06-27,39.645816802978516,39.84385633533956,39.220995193579625,39.53721436086384,19889100
2022-06-28,39.08683395385742,40.1089614897031,39.06127893775307,39.81829374323346,15399000
2022-06-29,38.94309997558594,39.39986623869467,38.639656515222434,39.2529331045361,19111500
2022-06-30,38.83449935913086,38.987818499201246,38.29468570703409,38.61090483418449,19166100
2022-07-01,39.169883728027344,39.262511985393346,38.700341806680825,38.94948769324563,17460900
2022-07-05,39.68733596801758,39.77038337583253,38.84407889831343,39.03572873080299,18218100
2022-07-06,39.96842575073242,40.335754960967094,39.703312969219226,39.76080536956723,21300000
2022-07-07,40.029109954833984,40.09618684764728,39.64581029125813,39.98758442337027,17487300
2022-07-08,40.054664611816406,40.44115914121522,39.97481203175817,40.18881840848096,14751000
2022-07-11,40.07063293457031,40.351719849656945,39.80552019003778,39.93328431113782,11532900
2022-07-12,39.94926452636719,40.607261607133935,39.83747089326001,39.96204386591343,13732200
2022-07-13,40.045082092285156,40.393242251135,39.578735002300526,39.74802465820534,12689100
2022-07-14,40.82765197753906,40.98736080074858,39.65220512766784,39.65859114112936,20905500
2022-07-15,41.22692108154297,41.61021712919048,40.9011174305633,41.140678831124326,21184200
2022-07-18,41.1310920715332,41.619799348899676,40.96819208268884,41.092761372246294,14243700
2022-07-19,41.38343811035156,41.511202250493895,41.07679978750939,41.32913688862421,16995300
2022-07-20,41.728389739990234,41.94239972183487,41.36425913616638,41.68686787028482,18564900
2022-07-21,42.33848190307617,42.341676737131515,41.683679827559,41.74117587430558,18764700
2022-07-22,42.22988510131836,42.60679515087713,41.9168571197073,42.33529270668231,13616400
2022-07-25,42.16920471191406,42.386405971438286,41.990330506128736,42.2873880189653,20535300
2022-07-26,38.9622688293457,39.18905456414557,38.348992184887315,38.69076637666884,95391600
2022-07-27,40.43477249145508,40.49226854663967,38.65882465936885,38.725901562709005,42159600
2022-07-28,41.44412612915039,41.686882386509616,40.33256127398408,40.33256127398408,33262200
2022-07-29,42.17878341674805,42.24586032665235,40.88834429896457,40.98736590182003,30141900
2022-08-01,42.33529281616211,42.87510287146692,41.843394311941985,41.862559663459265,24996300
